iter	Passed	Remaining
0	2	1452
1	5	1353
2	7	1329
3	10	1348
4	13	1298
5	15	1258
6	17	1276
7	20	1264
8	22	1238
9	25	1240
10	27	1225
11	29	1211
12	32	1212
13	34	1211
14	36	1199
15	39	1192
16	41	1184
17	43	1175
18	46	1175
19	48	1177
20	51	1184
21	54	1185
22	56	1183
23	59	1181
24	61	1174
25	63	1171
26	66	1172
27	68	1167
28	70	1161
29	73	1158
30	75	1153
31	78	1150
32	80	1146
33	82	1142
34	84	1138
35	87	1136
36	89	1131
37	92	1128
38	94	1123
39	96	1118
40	98	1114
41	101	1115
42	103	1111
43	106	1110
44	108	1109
45	111	1108
46	114	1112
47	116	1107
48	118	1102
49	120	1098
50	123	1096
51	125	1091
52	127	1088
53	130	1086
54	132	1082
55	134	1079
56	137	1077
57	140	1077
58	142	1074
59	145	1073
60	147	1073
61	150	1071
62	152	1067
63	154	1064
64	157	1063
65	161	1071
66	163	1067
67	166	1067
68	168	1060
69	170	1056
70	173	1055
71	175	1052
72	177	1049
73	180	1046
74	182	1043
75	184	1039
76	186	1036
77	189	1034
78	191	1032
79	193	1028
80	195	1023
81	198	1021
82	200	1018
83	203	1015
84	205	1013
85	208	1011
86	210	1009
87	212	1006
88	215	1004
89	217	1002
90	220	999
91	222	996
92	225	994
93	227	991
94	229	989
95	232	986
96	234	983
97	236	980
98	239	978
99	241	975
100	243	973
101	246	971
102	248	968
103	250	965
104	253	962
105	255	960
106	257	957
107	260	955
108	263	953
109	265	950
110	267	947
111	269	943
112	272	942
113	274	939
114	276	936
115	279	934
116	281	931
117	284	929
118	286	926
119	287	920
120	290	918
121	292	917
122	295	913
123	297	912
124	300	909
125	302	907
126	304	904
127	307	902
128	309	899
129	311	896
130	314	895
131	316	893
132	319	890
133	321	888
134	324	886
135	326	884
136	329	882
137	331	879
138	334	878
139	336	876
140	339	872
141	342	871
142	345	871
143	347	868
144	349	865
145	351	862
146	354	860
147	356	858
148	359	855
149	362	854
150	365	853
151	367	850
152	369	848
153	372	846
154	374	843
155	377	841
156	379	838
157	381	836
158	383	832
159	386	830
160	388	827
161	390	825
162	393	824
163	396	821
164	398	819
165	401	816
166	403	814
167	406	812
168	408	809
169	410	806
170	413	804
171	415	801
172	417	799
173	419	796
174	422	793
175	424	790
176	426	788
177	429	786
178	432	784
179	434	782
180	437	780
181	439	778
182	442	775
183	444	772
184	446	770
185	448	767
186	451	764
187	453	762
188	455	759
189	458	757
190	460	755
191	463	752
192	465	750
193	468	748
194	470	746
195	473	743
196	475	741
197	477	738
198	480	736
199	482	733
200	484	730
201	487	728
202	489	725
203	491	723
204	494	720
205	496	718
206	498	715
207	501	713
208	503	711
209	506	708
210	508	705
211	510	703
212	513	701
213	515	698
214	518	696
215	520	694
216	523	692
217	526	690
218	528	687
219	530	685
220	532	682
221	534	679
222	537	677
223	539	674
224	542	672
225	544	669
226	547	667
227	549	665
228	552	663
229	554	660
230	556	658
231	559	655
232	561	653
233	563	650
234	566	648
235	568	645
236	570	643
237	572	640
238	575	637
239	577	635
240	580	633
241	582	630
242	584	628
243	587	626
244	589	623
245	592	621
246	594	619
247	597	616
248	599	614
249	602	612
250	604	609
251	606	606
252	609	604
253	611	602
254	614	600
255	616	597
256	619	595
257	621	593
258	624	590
259	626	587
260	628	585
261	630	582
262	633	580
263	635	577
264	638	575
265	640	572
266	642	570
267	645	568
268	647	565
269	649	563
270	652	561
271	655	558
272	657	556
273	659	553
274	662	551
275	664	548
276	666	546
277	669	544
278	671	541
279	673	539
280	676	536
281	679	534
282	681	532
283	683	529
284	686	527
285	688	525
286	691	523
287	694	520
288	696	518
289	699	515
290	701	513
291	704	511
292	706	509
293	709	506
294	712	504
295	714	502
296	717	499
297	719	497
298	722	495
299	724	492
300	726	490
301	729	487
302	731	485
303	734	483
304	736	480
305	739	478
306	741	475
307	743	473
308	745	470
309	747	468
310	750	465
311	752	463
312	755	460
313	757	458
314	759	455
315	761	453
316	764	450
317	766	448
318	768	445
319	771	443
320	774	441
321	776	438
322	778	436
323	781	433
324	783	431
325	785	429
326	788	426
327	791	424
328	793	422
329	796	419
330	798	417
331	800	414
332	803	412
333	805	410
334	808	407
335	810	405
336	813	402
337	815	400
338	817	398
339	820	395
340	822	393
341	824	390
342	827	388
343	829	385
344	831	383
345	834	380
346	836	378
347	838	375
348	840	373
349	843	371
350	845	368
351	847	365
352	849	363
353	852	361
354	854	358
355	857	356
356	859	353
357	861	351
358	863	348
359	866	346
360	869	344
361	871	341
362	873	339
363	876	337
364	878	334
365	881	332
366	883	329
367	885	327
368	888	324
369	890	322
370	892	319
371	894	317
372	897	315
373	900	312
374	902	310
375	905	308
376	908	305
377	910	303
378	912	301
379	915	298
380	917	296
381	920	293
382	922	291
383	925	289
384	927	286
385	929	284
386	932	281
387	934	279
388	937	277
389	939	274
390	941	272
391	944	269
392	947	267
393	949	265
394	952	262
395	954	260
396	957	258
397	959	255
398	962	253
399	964	250
400	966	248
401	969	245
402	971	243
403	974	241
404	977	238
405	979	236
406	982	234
407	984	231
408	986	229
409	989	226
410	991	224
411	993	221
412	996	219
413	998	217
414	1000	214
415	1003	212
416	1006	209
417	1008	207
418	1011	205
419	1013	202
420	1016	200
421	1018	197
422	1020	195
423	1023	193
424	1025	190
425	1028	188
426	1030	185
427	1033	183
428	1035	181
429	1038	178
430	1040	176
431	1042	173
432	1044	171
433	1047	168
434	1049	166
435	1051	164
436	1054	161
437	1056	159
438	1059	156
439	1061	154
440	1064	152
441	1066	149
442	1069	147
443	1071	144
444	1074	142
445	1076	140
446	1079	137
447	1081	135
448	1083	132
449	1087	130
450	1089	128
451	1091	125
452	1093	123
453	1096	120
454	1098	118
455	1101	115
456	1103	113
457	1106	111
458	1108	108
459	1110	106
460	1113	103
461	1116	101
462	1118	99
463	1121	96
464	1123	94
465	1126	91
466	1128	89
467	1131	87
468	1133	84
469	1136	82
470	1138	79
471	1140	77
472	1142	74
473	1145	72
474	1147	70
475	1150	67
476	1152	65
477	1154	62
478	1157	60
479	1160	58
480	1163	55
481	1165	53
482	1168	50
483	1170	48
484	1173	45
485	1176	43
486	1178	41
487	1181	38
488	1183	36
489	1185	33
490	1188	31
491	1191	29
492	1193	26
493	1195	24
494	1198	21
495	1200	19
496	1202	16
497	1205	14
498	1207	12
499	1209	9
500	1212	7
501	1215	4
502	1217	2
503	1219	0
